2023-05-15 14:55:22.181 [main] INFO  c.s.stt.SpeachToTextApplication - Starting SpeachToTextApplication using Java 1.8.0_362 on LAP-PRAJWALS with PID 38269 (/home/prajwal.sonawane/Desktop/Speach-to-Text/target/classes started by prajwal.sonawane in /home/prajwal.sonawane/Desktop/Speach-to-Text)
2023-05-15 14:55:22.184 [main] INFO  c.s.stt.SpeachToTextApplication - No active profile set, falling back to 1 default profile: "default"
2023-05-15 14:55:22.645 [main] INFO  c.s.stt.SpeachToTextApplication - Started SpeachToTextApplication in 0.761 seconds (JVM running for 1.083)
2023-05-15 14:55:22.647 [main] INFO  c.s.stt.SpeachToTextApplication - --------------------- System Information ---------------------
2023-05-15 14:55:22.647 [main] INFO  c.s.stt.SpeachToTextApplication - Operating system :Linux
2023-05-15 14:55:22.647 [main] INFO  c.s.stt.SpeachToTextApplication - Java version :1.8.0_362
2023-05-15 14:55:22.647 [main] INFO  c.s.stt.SpeachToTextApplication - Operating system architecture :amd64
2023-05-15 14:55:22.647 [main] INFO  c.s.stt.SpeachToTextApplication - Java Home :/usr/lib/jvm/java-8-openjdk-amd64/jre
2023-05-15 14:55:22.647 [main] INFO  c.s.stt.SpeachToTextApplication - System username :prajwal.sonawane
2023-05-15 14:55:22.647 [main] INFO  c.s.stt.SpeachToTextApplication - --------------------- System Information ---------------------
2023-05-15 14:55:22.648 [main] INFO  c.s.stt.user.AunthenticateUser - User Authenticating
2023-05-15 14:55:22.648 [main] INFO  c.s.stt.user.AunthenticateUser - reading user data from file
2023-05-15 14:55:22.755 [main] INFO  c.s.stt.user.AunthenticateUser - read data sucessfully from file
2023-05-15 14:55:22.755 [main] INFO  c.s.stt.SpeachToTextApplication - User Authenticated Sucessfully
2023-05-15 14:58:34.770 [main] INFO  c.s.stt.SpeachToTextApplication - Starting SpeachToTextApplication using Java 1.8.0_362 on LAP-PRAJWALS with PID 38583 (/home/prajwal.sonawane/Desktop/Speach-to-Text/target/classes started by prajwal.sonawane in /home/prajwal.sonawane/Desktop/Speach-to-Text)
2023-05-15 14:58:34.773 [main] INFO  c.s.stt.SpeachToTextApplication - No active profile set, falling back to 1 default profile: "default"
2023-05-15 14:58:36.453 [main] INFO  c.s.stt.SpeachToTextApplication - Started SpeachToTextApplication in 2.048 seconds (JVM running for 2.358)
2023-05-15 14:58:36.455 [main] INFO  c.s.stt.SpeachToTextApplication - --------------------- System Information ---------------------
2023-05-15 14:58:36.455 [main] INFO  c.s.stt.SpeachToTextApplication - Operating system :Linux
2023-05-15 14:58:36.455 [main] INFO  c.s.stt.SpeachToTextApplication - Java version :1.8.0_362
2023-05-15 14:58:36.455 [main] INFO  c.s.stt.SpeachToTextApplication - Operating system architecture :amd64
2023-05-15 14:58:36.455 [main] INFO  c.s.stt.SpeachToTextApplication - Java Home :/usr/lib/jvm/java-8-openjdk-amd64/jre
2023-05-15 14:58:36.455 [main] INFO  c.s.stt.SpeachToTextApplication - System username :prajwal.sonawane
